geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
42a6b12d,runec4597bedf,neutron,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,2.0,2.9395654205,0.02,0.45566666666666666,0.39767191918476974
42a6b12d,run793ddb8e7f,kaon0L,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,2.0,2.497611,0.02,0.5913333333333334,0.40020784420007316
6569c1c0,runc823907964,kaon0L,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,2.0,2.497611,0.02,0.6503333333333333,0.3999176772108347
6569c1c0,runc8bbc52f7d,neutron,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,2.0,2.9395654205,0.02,0.5213333333333333,0.41545178653110065
9d207cca,run59fa915f34,neutron,10,3,3,4,4.497,3.7845,3.7182,0.5936,0.5302,0.3807,0.05,2.0,2.9395654205,0.02,0.558,0.43384861934312985
9d207cca,run004053a287,kaon0L,10,3,3,4,4.497,3.7845,3.7182,0.5936,0.5302,0.3807,0.05,2.0,2.497611,0.02,0.697,0.4135929862519809
a72e7022,run878be08841,kaon0L,10,3,3,4,3.7104,4.2258,3.6795,0.5061,0.3196,0.3172,0.05,2.0,2.497611,0.02,0.5156666666666667,0.3978246493466875
a72e7022,runb7a6adc56d,neutron,10,3,3,4,3.7104,4.2258,3.6795,0.5061,0.3196,0.3172,0.05,2.0,2.9395654205,0.02,0.36133333333333334,0.3902075528410637
0bb97674,run88b6fce986,kaon0L,10,3,3,4,3.8126,3.8719,4.3553,0.3013,0.5024,0.3394,0.05,2.0,2.497611,0.02,0.528,0.3653674178877229
0bb97674,runc3bae04f77,neutron,10,3,3,4,3.8126,3.8719,4.3553,0.3013,0.5024,0.3394,0.05,2.0,2.9395654205,0.02,0.39166666666666666,0.38039209329944357
868a492a,rune64f9d52b5,neutron,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,2.0,2.9395654205,0.02,0.5526666666666666,0.4471749699809319
868a492a,run13088929ef,kaon0L,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,2.0,2.497611,0.02,0.7013333333333334,0.4033510522468952
8640d9db,run300e342dc7,neutron,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,2.0,2.9395654205,0.02,0.5843333333333334,0.41869130327566856
8640d9db,run4f6d8946d9,kaon0L,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,2.0,2.497611,0.02,0.6943333333333334,0.42536210022051835
a672a812,run3ae72e63fa,kaon0L,10,3,3,4,3.6394,4.0602,3.5563,0.4522,0.4509,0.349,0.05,2.0,2.497611,0.02,0.61,0.38125879541281005
a672a812,run7bfda8cad3,neutron,10,3,3,4,3.6394,4.0602,3.5563,0.4522,0.4509,0.349,0.05,2.0,2.9395654205,0.02,0.45466666666666666,0.37256072189937356
10f521d2,run06ca333c7a,kaon0L,10,3,3,4,4.3109,4.3546,3.8017,0.5603,0.5806,0.3653,0.05,2.0,2.497611,0.02,0.6746666666666666,0.4124961758808287
10f521d2,run4b242c77dc,neutron,10,3,3,4,4.3109,4.3546,3.8017,0.5603,0.5806,0.3653,0.05,2.0,2.9395654205,0.02,0.556,0.40906064498087635
0d7cbc0b,run743ac38b88,kaon0L,10,3,3,4,3.8166,3.509,3.5683,0.4761,0.518,0.4767,0.05,2.0,2.497611,0.02,0.6853333333333333,0.39355718844860477
0d7cbc0b,runcde2da71c4,neutron,10,3,3,4,3.8166,3.509,3.5683,0.4761,0.518,0.4767,0.05,2.0,2.9395654205,0.02,0.5603333333333333,0.4003783871644386
82e534a8,runc81e9cb79f,neutron,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,2.0,2.9395654205,0.02,0.4166666666666667,0.3826748646485439
82e534a8,runffb0e41b5f,kaon0L,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,2.0,2.497611,0.02,0.561,0.3818963079015637
8df588b1,run53efbd86b2,kaon0L,10,3,3,4,3.5393,3.8874,4.4818,0.3863,0.5012,0.4945,0.05,2.0,2.497611,0.02,0.6583333333333333,0.396695950660681
8df588b1,run2400fc19e9,neutron,10,3,3,4,3.5393,3.8874,4.4818,0.3863,0.5012,0.4945,0.05,2.0,2.9395654205,0.02,0.5266666666666666,0.40934296639289436
bc38436d,run1d6f0f2ae9,neutron,10,3,3,4,3.548,3.6944,3.8244,0.4678,0.3163,0.5032,0.05,2.0,2.9395654205,0.02,0.4706666666666667,0.3714266683118088
bc38436d,runb2b2cbd8eb,kaon0L,10,3,3,4,3.548,3.6944,3.8244,0.4678,0.3163,0.5032,0.05,2.0,2.497611,0.02,0.6206666666666667,0.39963081418438423
4e9874e1,runeb79cb1faf,kaon0L,10,3,3,4,3.7481,4.0184,3.7833,0.4365,0.3944,0.3228,0.05,2.0,2.497611,0.02,0.5533333333333333,0.39795840418957834
4e9874e1,run0786e7a7b4,neutron,10,3,3,4,3.7481,4.0184,3.7833,0.4365,0.3944,0.3228,0.05,2.0,2.9395654205,0.02,0.408,0.4264640560692337
be9cc0a9,run6f273923c3,kaon0L,10,3,3,4,4.2001,4.4708,4.0458,0.4114,0.3423,0.4516,0.05,2.0,2.497611,0.02,0.539,0.36591052023703075
be9cc0a9,run2c594f12be,neutron,10,3,3,4,4.2001,4.4708,4.0458,0.4114,0.3423,0.4516,0.05,2.0,2.9395654205,0.02,0.373,0.3523135733032842
601af80d,run06952c0b41,kaon0L,10,3,3,4,4.3748,4.4601,4.3708,0.4191,0.5244,0.561,0.05,2.0,2.497611,0.02,0.66,0.3824681686356502
601af80d,runa2ffbce0e0,neutron,10,3,3,4,4.3748,4.4601,4.3708,0.4191,0.5244,0.561,0.05,2.0,2.9395654205,0.02,0.5276666666666666,0.38338147184425275
d7cc3d00,run0564d6c7be,neutron,10,3,3,4,3.7433,3.9719,3.5312,0.5871,0.3749,0.4627,0.05,2.0,2.9395654205,0.02,0.5336666666666666,0.40892814382565906
d7cc3d00,run8ef1c16574,kaon0L,10,3,3,4,3.7433,3.9719,3.5312,0.5871,0.3749,0.4627,0.05,2.0,2.497611,0.02,0.6556666666666666,0.3916855459575252
40516277,runf144b92973,neutron,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,2.0,2.9395654205,0.02,0.424,0.3850805088486581
40516277,rund087e3478c,kaon0L,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,2.0,2.497611,0.02,0.5886666666666667,0.4020195483372289
3da26a90,runc569595f1b,kaon0L,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,2.0,2.497611,0.02,0.6183333333333333,0.36800258785172274
3da26a90,rune7f6f48122,neutron,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,2.0,2.9395654205,0.02,0.455,0.39188159707990716
06824a73,run07c31ac160,kaon0L,10,3,3,4,4.0324,3.7711,3.5621,0.4722,0.5646,0.5758,0.05,2.0,2.497611,0.02,0.727,0.38945749569735133
06824a73,run631a71b4e5,neutron,10,3,3,4,4.0324,3.7711,3.5621,0.4722,0.5646,0.5758,0.05,2.0,2.9395654205,0.02,0.6046666666666667,0.4132019162929456
b2252494,runbe16c63ecb,kaon0L,10,3,3,4,4.2649,3.6862,3.9208,0.3883,0.3244,0.4712,0.05,2.0,2.497611,0.02,0.547,0.38302673629306666
b2252494,rune918a7c122,neutron,10,3,3,4,4.2649,3.6862,3.9208,0.3883,0.3244,0.4712,0.05,2.0,2.9395654205,0.02,0.4023333333333333,0.3783713965793891
