geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
04e3fdfb,1.0,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,0.22656666666666667,0.0091867456858398,0.39673702740677086,0.04434221519258888,0.1069,0.004030899173651971,0.4204381185109975,0.05071029736477473
6187061c,1.0,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,0.43583333333333335,0.007068011751791071,0.41324446416818494,0.012375236968232206,0.2501333333333333,0.008001851637566742,0.42958590448724765,0.028232433480669932
c2bbd5d3,1.0,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,0.4862333333333333,0.01011544473674896,0.41449088146960855,0.014468087545276417,0.2836333333333333,0.006900438347142597,0.4313988119484623,0.035503284382245724
