geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
04e3fdfb,run06087c54f1,neutron,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.9395654205000001,0.02,0.10433333333333333,0.44321108529055825
04e3fdfb,run24c4aaf7f3,kaon0L,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.497611,0.02,0.22833333333333333,0.346910938265618
04e3fdfb,run738b648368,kaon0L,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.497611,0.02,0.237,0.4058881158045981
04e3fdfb,run6acb4db947,neutron,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.9395654205000001,0.02,0.10766666666666666,0.4021537786854178
04e3fdfb,rundbcc9d0c55,kaon0L,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.497611,0.02,0.22733333333333333,0.3900011604617519
04e3fdfb,runf067dbd82d,neutron,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.9395654205000001,0.02,0.10533333333333333,0.35920200801061136
04e3fdfb,runed9974771a,kaon0L,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.497611,0.02,0.223,0.3505935102472363
04e3fdfb,run042d8ef91e,neutron,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.9395654205000001,0.02,0.10566666666666667,0.48641324192922425
04e3fdfb,run9d75b9c371,kaon0L,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.497611,0.02,0.235,0.36950662153208247
04e3fdfb,rune7fc5cdad5,kaon0L,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.497611,0.02,0.22266666666666668,0.3834524909383705
04e3fdfb,runef1d93de0e,neutron,10,3,3,4,4.0,4.0,4.0,0.4,0.4,0.4,0.05,1.0,1.9395654205000001,0.02,0.103,0.47598881213104627
c2bbd5d3,rund052a50edc,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.2836666666666667,0.47722874817605876
c2bbd5d3,run79a5ef9a6c,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.26966666666666667,0.3889448183030313
c2bbd5d3,rund6a57d9fb0,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.2896666666666667,0.4052174048589053
c2bbd5d3,runbcaf26742c,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.495,0.42653052234531297
c2bbd5d3,runcfce8461ef,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.4786666666666667,0.4340651049960376
c2bbd5d3,run39c0cf25d3,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.469,0.41143196025099166
c2bbd5d3,run6a3ea8bfcc,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.47333333333333333,0.4077143416750458
c2bbd5d3,run62bc052b62,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.2856666666666667,0.4927708552342044
c2bbd5d3,run6f172de820,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.2793333333333333,0.42255363207126745
c2bbd5d3,runc437917049,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.498,0.4146415338457215
c2bbd5d3,run348312b643,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.49766666666666665,0.42981625638791615
c2bbd5d3,run9c1eb641bd,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.483,0.41783940503875683
c2bbd5d3,run19ad3b2d0b,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.2853333333333333,0.42729829376214085
c2bbd5d3,run9f73a939ce,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.2793333333333333,0.4673799135294132
c2bbd5d3,run26c8e363f2,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.49166666666666664,0.41802747761922415
c2bbd5d3,run28087d052f,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.2836666666666667,0.4212979398460268
c2bbd5d3,runc0efe5dbfc,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.284,0.41491458006472015
c2bbd5d3,runf1605e9005,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.486,0.3865992313352674
c2bbd5d3,run9a9d7bc79c,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.296,0.3963819336388554
c2bbd5d3,run76aa550ab6,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.49,0.3982429812018117
