geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
04e3fdfb,runae8508b0da,neutron,10,3,3,4,4,4,4,0.4,0.4,0.4,0.05,0.5,1.4395654205000001,0.02,0.042,0.46393431109932126
04e3fdfb,run1fe61f80be,neutron,10,3,3,4,4,4,4,0.4,0.4,0.4,0.05,0.5,1.4395654205000001,0.02,0.03866666666666667,0.2985463663912157
04e3fdfb,runfdaf9c3062,neutron,10,3,3,4,4,4,4,0.4,0.4,0.4,0.05,0.5,1.4395654205000001,0.02,0.03866666666666667,0.6173539951523134
42bd89c3,runc46e5e9bcd,neutron,10,3,3,4,4,4,4,0.8,0.8,0.8,0.05,0.5,1.4395654205000001,0.02,0.20566666666666666,0.5941440957055725
42bd89c3,rune7248513bc,neutron,10,3,3,4,4,4,4,0.8,0.8,0.8,0.05,0.5,1.4395654205000001,0.02,0.19833333333333333,0.4624214418609061
42bd89c3,runbe35c6804e,neutron,10,3,3,4,4,4,4,0.8,0.8,0.8,0.05,0.5,1.4395654205000001,0.02,0.19066666666666668,0.45806292420164557
