geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
d7cc3d00,run6d81c7a822,neutron,10,3,3,4,3.7433,3.9719,3.5312,0.5871,0.3749,0.4627,0.05,3.0,3.9395654205,0.02,0.7326666666666667,0.43648445178754963
40516277,runa00e77f24b,kaon0L,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,3.0,3.497611,0.02,0.7696666666666667,0.39798155511472866
40516277,rund0ac077b9e,neutron,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,3.0,3.9395654205,0.02,0.6933333333333334,0.3847814232088325
3da26a90,runba38af7baa,neutron,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,3.0,3.9395654205,0.02,0.722,0.4090933631124926
3da26a90,run5fdfff3218,kaon0L,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,3.0,3.497611,0.02,0.7876666666666666,0.38398113602429773
06824a73,runaf05e998f4,kaon0L,10,3,3,4,4.0324,3.7711,3.5621,0.4722,0.5646,0.5758,0.05,3.0,3.497611,0.02,0.8056666666666666,0.39322497692465336
06824a73,run7bbc9d2f59,neutron,10,3,3,4,4.0324,3.7711,3.5621,0.4722,0.5646,0.5758,0.05,3.0,3.9395654205,0.02,0.7713333333333333,0.40118717256903663
b2252494,runb668cd12bb,kaon0L,10,3,3,4,4.2649,3.6862,3.9208,0.3883,0.3244,0.4712,0.05,3.0,3.497611,0.02,0.7476666666666667,0.3896019959943778
b2252494,runcc8c5d7a66,neutron,10,3,3,4,4.2649,3.6862,3.9208,0.3883,0.3244,0.4712,0.05,3.0,3.9395654205,0.02,0.674,0.40590094548914774
e85c794c,run0115a6b1ad,neutron,10,3,3,4,3.5966,4.0584,3.773,0.53,0.4245,0.4041,0.05,3.0,3.9395654205,0.02,0.702,0.40322359069499397
e85c794c,runc1720f969a,kaon0L,10,3,3,4,3.5966,4.0584,3.773,0.53,0.4245,0.4041,0.05,3.0,3.497611,0.02,0.7633333333333333,0.4039325471446779
5a9945a0,runb75b169f2b,kaon0L,10,3,3,4,3.7754,4.4953,4.1395,0.4978,0.4576,0.4076,0.05,3.0,3.497611,0.02,0.77,0.40814227099953687
5a9945a0,runcf1df0beda,neutron,10,3,3,4,3.7754,4.4953,4.1395,0.4978,0.4576,0.4076,0.05,3.0,3.9395654205,0.02,0.717,0.4079854035394886
b3a92429,runf7daf17eee,neutron,10,3,3,4,4.1174,4.1886,4.3261,0.5975,0.3738,0.4754,0.05,3.0,3.9395654205,0.02,0.7333333333333333,0.42072860152206
