geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
337b4a7e,3.0,10,3,3,4,3.6699,3.8855,3.7223,0.3854,0.4034,0.5579,0.05,0.7883333333333333,,0.38266712017683846,,0.727,,0.3966952651050218,
34121a9d,3.0,10,3,3,4,3.8842,4.075,3.865,0.3578,0.3765,0.3128,0.05,0.691,,0.3377624731083817,,0.5843333333333334,,0.3553349090074463,
36b4d2c1,3.0,10,3,3,4,3.8409,3.8078,4.4083,0.3387,0.5611,0.3837,0.05,0.771,,0.399129521120837,,0.6913333333333334,,0.4173953325228951,
36ef355f,3.0,10,3,3,4,4.199,3.6165,3.7797,0.3268,0.3894,0.4817,0.05,0.7406666666666667,,0.38515605960535415,,0.667,,0.3830373173524156,
371175c1,3.0,10,3,3,4,4.0634,4.4195,3.8866,0.5841,0.3119,0.3048,0.05,0.704,,0.42040546878404716,,0.6306666666666667,,0.4472526527019053,
391e3b1f,3.0,10,3,3,4,3.9858,3.9041,3.6277,0.4435,0.5447,0.3784,0.05,0.7766666666666666,,0.3936151371416156,,0.7133333333333334,,0.41993394300150255,
3aa9fcbb,3.0,10,3,3,4,3.8236,3.9911,4.0665,0.5636,0.3544,0.3339,0.05,0.7313333333333333,,0.4038725713511423,,0.6593333333333333,,0.4223498797143781,
3da26a90,3.0,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,0.7876666666666666,,0.38398113602429773,,0.722,,0.4090933631124926,
3f7b49a9,3.0,10,3,3,4,4.1733,4.0518,3.8147,0.3023,0.4002,0.3362,0.05,0.6823333333333333,,0.355989691937205,,0.58,,0.37158342564546715,
40516277,3.0,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,0.7696666666666667,,0.39798155511472866,,0.6933333333333334,,0.3847814232088325,
42a6b12d,3.0,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,0.75,,0.39846021607451915,,0.685,,0.40609975402889104,
455f73bc,3.0,10,3,3,4,3.6209,4.286,3.7883,0.5482,0.3852,0.559,0.05,0.801,,0.418270149211334,,0.7556666666666667,,0.4206981982535218,
4968921c,3.0,10,3,3,4,3.8472,4.2991,4.4339,0.3416,0.3582,0.4265,0.05,0.7303333333333333,,0.356838063092666,,0.6376666666666667,,0.3662466266452559,
4acf8cbb,3.0,10,3,3,4,4.4273,3.9072,4.3494,0.5919,0.5327,0.5054,0.05,0.8196666666666667,,0.4006531147029286,,0.783,,0.40663297095489126,
4ca425c5,3.0,10,3,3,4,3.8539,3.6106,4.2921,0.4932,0.3621,0.4295,0.05,0.7496666666666667,,0.39298270106835925,,0.6833333333333333,,0.40875200591739175,
4cc68285,3.0,10,3,3,4,4.2702,3.748,4.0958,0.3987,0.538,0.5893,0.05,0.8023333333333333,,0.4237988793509393,,0.7723333333333333,,0.40870736761694876,
4db37941,3.0,10,3,3,4,3.6057,4.0299,4.1731,0.4741,0.3095,0.5273,0.05,0.7753333333333333,,0.3738047923818689,,0.7146666666666667,,0.42801695689327524,
4e10581d,3.0,10,3,3,4,3.5182,3.6587,4.3121,0.414,0.5044,0.4436,0.05,0.771,,0.3895846351542925,,0.725,,0.40957590467871335,
4e9874e1,3.0,10,3,3,4,3.7481,4.0184,3.7833,0.4365,0.3944,0.3228,0.05,0.728,,0.39210105939140444,,0.6293333333333333,,0.3952621919354692,
58b5b6e1,3.0,10,3,3,4,4.1487,4.0972,3.5412,0.4343,0.5421,0.5313,0.05,0.8103333333333333,,0.41460515548192156,,0.7723333333333333,,0.3976882106524717,
5a9945a0,3.0,10,3,3,4,3.7754,4.4953,4.1395,0.4978,0.4576,0.4076,0.05,0.77,,0.40814227099953687,,0.717,,0.4079854035394886,
5ad50cb4,3.0,10,3,3,4,3.6857,4.4906,4.058,0.5884,0.3052,0.5483,0.05,0.783,,0.4213121597606742,,0.741,,0.45533443128315687,
5d8dca5d,3.0,10,3,3,4,4.3237,3.5868,3.8771,0.3303,0.5081,0.5956,0.05,0.7816666666666666,,0.4165584836888909,,0.73,,0.41926642645274476,
5f0715ea,3.0,10,3,3,4,4.1384,3.88,4.3165,0.3289,0.4773,0.4459,0.05,0.762,,0.3874221199040023,,0.688,,0.3992966961886791,
601af80d,3.0,10,3,3,4,4.3748,4.4601,4.3708,0.4191,0.5244,0.561,0.05,0.8183333333333334,,0.39264085188933207,,0.7546666666666667,,0.42328095726643183,
61334aff,3.0,10,3,3,4,3.6611,3.7165,4.1187,0.3653,0.3569,0.4133,0.05,0.735,,0.39031659773777594,,0.647,,0.3819083582534522,
6142e7a4,3.0,10,3,3,4,4.3975,3.6227,3.6893,0.4391,0.4333,0.3343,0.05,0.74,,0.3804734684971443,,0.6786666666666666,,0.4095672540653697,
6187061c,3.0,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,0.8116666666666666,,0.4172272564370915,,0.7713333333333333,,0.4346689796536528,
6569c1c0,3.0,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,0.7776666666666666,,0.3902187493842781,,0.733,,0.40559643468456225,
6669c902,3.0,10,3,3,4,3.523,4.2162,3.5055,0.45,0.3067,0.4381,0.05,0.747,,0.3705665004033555,,0.6646666666666666,,0.40629179627245743,
6c9a8efb,3.0,10,3,3,4,3.5021,4.1432,3.6726,0.5755,0.4463,0.3509,0.05,0.7666666666666667,,0.4127954795406638,,0.6916666666666667,,0.44357244939002066,
6e0b8628,3.0,10,3,3,4,3.9481,4.1174,4.018,0.47,0.3927,0.5153,0.05,0.7863333333333333,,0.3930499740614458,,0.733,,0.38190838025877766,
70ceca4d,3.0,10,3,3,4,4.4551,4.1718,4.0744,0.4818,0.4986,0.4913,0.05,0.8106666666666666,,0.3896606317001388,,0.75,,0.42533247505054567,
75dbc9b5,3.0,10,3,3,4,3.9044,4.2378,4.2953,0.5478,0.5955,0.3065,0.05,0.7733333333333333,,0.45143480758927457,,0.72,,0.4273228805716974,
76ca540e,3.0,10,3,3,4,3.8738,3.7931,3.6128,0.4838,0.528,0.326,0.05,0.7546666666666667,,0.40137963289489403,,0.699,,0.41470323993050584,
7d003439,3.0,10,3,3,4,3.5713,3.7451,4.0494,0.396,0.5624,0.4096,0.05,0.7686666666666667,,0.4129239533072623,,0.7076666666666667,,0.4073174359170134,
7e5df07f,3.0,10,3,3,4,4.024,4.4237,4.2024,0.5351,0.5491,0.3939,0.05,0.8016666666666666,,0.4185616109113458,,0.747,,0.43996785459454635,
