geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
3145b3bc,1.0,10,3,3,4,4.3062,4.3693,4.1388,0.4266,0.3686,0.3223,0.05,0.17233333333333334,,0.3792470142761682,,0.087,,0.3518720217546755,
67e31448,1.0,10,3,3,4,3.7989,3.9204,3.8139,0.4664,0.4663,0.5719,0.05,0.36533333333333334,,0.4343391359073576,,0.19933333333333333,,0.4076733761892233,
99dee3e8,1.0,10,3,3,4,3.5442,4.0378,4.4596,0.3171,0.5962,0.4857,0.05,0.30333333333333334,,0.389052301475972,,0.169,,0.48367333101822907,
c8852e53,1.0,10,3,3,4,4.0379,3.7364,3.5252,0.5773,0.3887,0.4178,0.05,0.3436666666666667,,0.4357403207857637,,0.17733333333333334,,0.42811439671779716,
f336ab61,1.0,10,3,3,4,3.7399,3.5307,4.0162,0.3568,0.5391,0.5415,0.05,0.3443333333333333,,0.411164281509906,,0.183,,0.42267062795214083,
