geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
25b54c79,1.0,10,3,3,4,3.8383,4.3238,4.4059,0.5147,0.5573,0.5357,0.05,0.37833333333333335,,0.3778623437142592,,0.19233333333333333,,0.44672350793734217,
2611d793,1.0,10,3,3,4,4.0968,3.92,4.0001,0.3473,0.4597,0.4478,0.05,0.23333333333333334,,0.3481539302875857,,0.12466666666666666,,0.40452438723484985,
26e87930,1.0,10,3,3,4,3.6585,4.1472,4.156,0.3541,0.3683,0.4229,0.05,0.19966666666666666,,0.4869087551643343,,0.093,,0.42693434479148973,
28463cd7,1.0,10,3,3,4,4.1629,3.9151,4.2505,0.3185,0.4429,0.5796,0.05,0.26033333333333336,,0.45096781839180494,,0.12933333333333333,,0.3978734873005801,
2a6170b3,1.0,10,3,3,4,3.9619,3.941,4.4271,0.5225,0.42,0.4646,0.05,0.31466666666666665,,0.3974274353886708,,0.16733333333333333,,0.36346689925522546,
2c0c56a3,1.0,10,3,3,4,4.4614,3.6932,4.4907,0.4909,0.474,0.5202,0.05,0.3323333333333333,,0.41961707557216127,,0.18933333333333333,,0.3801193687856706,
2eb132ec,1.0,10,3,3,4,4.3154,3.5646,4.0079,0.4487,0.3231,0.4687,0.05,0.24166666666666667,,0.40791092587985867,,0.12033333333333333,,0.4401464810477585,
307c33c5,1.0,10,3,3,4,3.8988,3.5958,4.4255,0.3093,0.3396,0.4208,0.05,0.164,,0.3947390880066172,,0.07733333333333334,,0.5918171738648099,
337b4a7e,1.0,10,3,3,4,3.6699,3.8855,3.7223,0.3854,0.4034,0.5579,0.05,0.295,,0.4140984829547676,,0.15766666666666668,,0.37161599809148665,
34121a9d,1.0,10,3,3,4,3.8842,4.075,3.865,0.3578,0.3765,0.3128,0.05,0.17766666666666667,,0.37953072561481044,,0.071,,0.3710009243701189,
36b4d2c1,1.0,10,3,3,4,3.8409,3.8078,4.4083,0.3387,0.5611,0.3837,0.05,0.2723333333333333,,0.4027910821628788,,0.14333333333333334,,0.36468337032667913,
36ef355f,1.0,10,3,3,4,4.199,3.6165,3.7797,0.3268,0.3894,0.4817,0.05,0.22533333333333333,,0.34992615187716625,,0.10266666666666667,,0.4297217348878065,
371175c1,1.0,10,3,3,4,4.0634,4.4195,3.8866,0.5841,0.3119,0.3048,0.05,0.232,,0.4173732970714134,,0.11733333333333333,,0.36085926480596875,
391e3b1f,1.0,10,3,3,4,3.9858,3.9041,3.6277,0.4435,0.5447,0.3784,0.05,0.32466666666666666,,0.38310830633686316,,0.166,,0.38450662547099695,
3aa9fcbb,1.0,10,3,3,4,3.8236,3.9911,4.0665,0.5636,0.3544,0.3339,0.05,0.2693333333333333,,0.44822768928579915,,0.131,,0.4061977119583382,
3da26a90,1.0,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,0.24833333333333332,,0.38832899145300365,,0.13033333333333333,,0.38951677877480345,
3f7b49a9,1.0,10,3,3,4,4.1733,4.0518,3.8147,0.3023,0.4002,0.3362,0.05,0.147,,0.3990333985521965,,0.073,,0.44197032787803653,
40516277,1.0,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,0.24233333333333335,,0.3999148482995201,,0.12733333333333333,,0.3259759675397145,
42a6b12d,1.0,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,0.2816666666666667,,0.35771297865822715,,0.13666666666666666,,0.35048975086062817,
455f73bc,1.0,10,3,3,4,3.6209,4.286,3.7883,0.5482,0.3852,0.559,0.05,0.3383333333333333,,0.382275011736349,,0.183,,0.41582006626192336,
4968921c,1.0,10,3,3,4,3.8472,4.2991,4.4339,0.3416,0.3582,0.4265,0.05,0.169,,0.36917532086909405,,0.073,,0.42185921208091975,
4acf8cbb,1.0,10,3,3,4,4.4273,3.9072,4.3494,0.5919,0.5327,0.5054,0.05,0.39866666666666667,,0.5137701790843965,,0.229,,0.43988711529416114,
4ca425c5,1.0,10,3,3,4,3.8539,3.6106,4.2921,0.4932,0.3621,0.4295,0.05,0.293,,0.3702150824642191,,0.13233333333333333,,0.5490225440269434,
4cc68285,1.0,10,3,3,4,4.2702,3.748,4.0958,0.3987,0.538,0.5893,0.05,0.3433333333333333,,0.4395139096101516,,0.197,,0.42174660571749945,
4db37941,1.0,10,3,3,4,3.6057,4.0299,4.1731,0.4741,0.3095,0.5273,0.05,0.24966666666666668,,0.42618413381948417,,0.13033333333333333,,0.5106742404265399,
4e10581d,1.0,10,3,3,4,3.5182,3.6587,4.3121,0.414,0.5044,0.4436,0.05,0.31633333333333336,,0.44574848522626687,,0.171,,0.4351532401342884,
4e9874e1,1.0,10,3,3,4,3.7481,4.0184,3.7833,0.4365,0.3944,0.3228,0.05,0.232,,0.4303869094511331,,0.11033333333333334,,0.5799409746754959,
58b5b6e1,1.0,10,3,3,4,4.1487,4.0972,3.5412,0.4343,0.5421,0.5313,0.05,0.3586666666666667,,0.4053289534737462,,0.185,,0.41444575437950787,
5a9945a0,1.0,10,3,3,4,3.7754,4.4953,4.1395,0.4978,0.4576,0.4076,0.05,0.29033333333333333,,0.377365948847733,,0.149,,0.3733829818080644,
