geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
c8852e53,run00cf57fb36,kaon0L,10,3,3,4,4.0379,3.7364,3.5252,0.5773,0.3887,0.4178,0.05,1.0,1.497611,0.02,0.3436666666666667,0.4357403207857637
c8852e53,run2377f5f66c,neutron,10,3,3,4,4.0379,3.7364,3.5252,0.5773,0.3887,0.4178,0.05,1.0,1.9395654205000001,0.02,0.17733333333333334,0.42811439671779716
99dee3e8,rune03b0b4b99,kaon0L,10,3,3,4,3.5442,4.0378,4.4596,0.3171,0.5962,0.4857,0.05,1.0,1.497611,0.02,0.30333333333333334,0.389052301475972
99dee3e8,run929b35461c,neutron,10,3,3,4,3.5442,4.0378,4.4596,0.3171,0.5962,0.4857,0.05,1.0,1.9395654205000001,0.02,0.169,0.48367333101822907
3145b3bc,runb121aecd67,neutron,10,3,3,4,4.3062,4.3693,4.1388,0.4266,0.3686,0.3223,0.05,1.0,1.9395654205000001,0.02,0.087,0.3518720217546755
3145b3bc,runa3676ec978,kaon0L,10,3,3,4,4.3062,4.3693,4.1388,0.4266,0.3686,0.3223,0.05,1.0,1.497611,0.02,0.17233333333333334,0.3792470142761682
f336ab61,run7e5c62950e,kaon0L,10,3,3,4,3.7399,3.5307,4.0162,0.3568,0.5391,0.5415,0.05,1.0,1.497611,0.02,0.3443333333333333,0.411164281509906
f336ab61,run9f080802ad,neutron,10,3,3,4,3.7399,3.5307,4.0162,0.3568,0.5391,0.5415,0.05,1.0,1.9395654205000001,0.02,0.183,0.42267062795214083
67e31448,run8b1dac8fc5,neutron,10,3,3,4,3.7989,3.9204,3.8139,0.4664,0.4663,0.5719,0.05,1.0,1.9395654205000001,0.02,0.19933333333333333,0.4076733761892233
67e31448,runb5e6cc37d9,kaon0L,10,3,3,4,3.7989,3.9204,3.8139,0.4664,0.4663,0.5719,0.05,1.0,1.497611,0.02,0.36533333333333334,0.4343391359073576
