geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
03ffcb75,2.0,10,3,3,4,4.3475,4.2412,4.1218,0.4629,0.3793,0.5116,0.05,0.6223333333333333,,0.41375678387981796,,0.467,,0.40909181822041907,
053c866b,2.0,10,3,3,4,3.6305,3.6426,4.0302,0.3683,0.598,0.4582,0.05,0.669,,0.42609662922238084,,0.5296666666666666,,0.40775541086515493,
06824a73,2.0,10,3,3,4,4.0324,3.7711,3.5621,0.4722,0.5646,0.5758,0.05,0.727,,0.38945749569735133,,0.6046666666666667,,0.4132019162929456,
06eae0b2,2.0,10,3,3,4,4.1033,4.3467,4.1083,0.4542,0.487,0.5548,0.05,0.6823333333333333,,0.3971476805000084,,0.5343333333333333,,0.3846848678536569,
08c45413,2.0,10,3,3,4,4.3403,4.2657,3.8301,0.5653,0.3902,0.5168,0.05,0.657,,0.40609161623782813,,0.521,,0.42580426413287176,
0988d8c0,2.0,10,3,3,4,4.1424,3.5054,3.9443,0.5254,0.335,0.4498,0.05,0.6083333333333333,,0.38694117259164645,,0.467,,0.3964608305282167,
0ac46c77,2.0,10,3,3,4,3.6491,3.7127,3.7457,0.5664,0.3825,0.3607,0.05,0.623,,0.4224587256025847,,0.49,,0.4256162941068117,
0bb97674,2.0,10,3,3,4,3.8126,3.8719,4.3553,0.3013,0.5024,0.3394,0.05,0.528,,0.3653674178877229,,0.39166666666666666,,0.38039209329944357,
0d0070b1,2.0,10,3,3,4,4.3723,3.9476,3.6507,0.4051,0.3476,0.3268,0.05,0.49033333333333334,,0.33854480111264723,,0.32033333333333336,,0.4299474909218944,
0d7cbc0b,2.0,10,3,3,4,3.8166,3.509,3.5683,0.4761,0.518,0.4767,0.05,0.6853333333333333,,0.39355718844860477,,0.5603333333333333,,0.4003783871644386,
0e2f56a4,2.0,10,3,3,4,3.7822,4.4806,4.4167,0.4597,0.5409,0.5925,0.05,0.7123333333333334,,0.4101652076435975,,0.5816666666666667,,0.3821558161506302,
0f6e860e,2.0,10,3,3,4,3.5288,3.8362,4.2661,0.3366,0.547,0.311,0.05,0.5586666666666666,,0.39045954003216127,,0.443,,0.3841930235867256,
10f521d2,2.0,10,3,3,4,4.3109,4.3546,3.8017,0.5603,0.5806,0.3653,0.05,0.6746666666666666,,0.4124961758808287,,0.556,,0.40906064498087635,
11ea6552,2.0,10,3,3,4,4.4391,4.1797,4.1298,0.554,0.3678,0.4366,0.05,0.6156666666666667,,0.4118299692361381,,0.4786666666666667,,0.38592249632146153,
1288e8aa,2.0,10,3,3,4,4.1707,3.8151,3.5339,0.4441,0.3335,0.4109,0.05,0.5556666666666666,,0.4244683449608546,,0.4083333333333333,,0.4236892738277,
1366f069,2.0,10,3,3,4,3.9383,4.0838,3.548,0.5763,0.4079,0.3675,0.05,0.6276666666666667,,0.4362502632726245,,0.4826666666666667,,0.39961653431582184,
14ca1937,2.0,10,3,3,4,4.2944,4.3103,4.2228,0.4604,0.5845,0.5871,0.05,0.7153333333333334,,0.41051020445344805,,0.5793333333333334,,0.41418403328500353,
14fe6567,2.0,10,3,3,4,4.1278,3.6292,3.6814,0.5987,0.4344,0.4032,0.05,0.6646666666666666,,0.4352180094888915,,0.526,,0.3863691732369251,
1bb09549,2.0,10,3,3,4,4.4199,4.2924,4.1047,0.4024,0.3516,0.4166,0.05,0.5206666666666667,,0.3900926878742247,,0.3473333333333333,,0.4035559815490884,
1d304dd4,2.0,10,3,3,4,4.3301,4.0707,3.5994,0.3663,0.4459,0.3891,0.05,0.5516666666666666,,0.3841029794776368,,0.4096666666666667,,0.36529976426785327,
1df36356,2.0,10,3,3,4,3.6758,4.0001,3.8131,0.4952,0.5386,0.5529,0.05,0.7123333333333334,,0.39866923708709073,,0.5946666666666667,,0.42349337459713116,
1dfac2af,2.0,10,3,3,4,4.4012,3.5241,4.3278,0.3058,0.4401,0.3088,0.05,0.46366666666666667,,0.3752855466220179,,0.3423333333333333,,0.39019195076797875,
1e49465a,2.0,10,3,3,4,4.3847,4.209,4.3017,0.4697,0.3619,0.482,0.05,0.609,,0.36997404800821193,,0.43966666666666665,,0.38319663060880726,
215e7c98,2.0,10,3,3,4,4.0044,4.197,4.0228,0.3257,0.4291,0.5393,0.05,0.6003333333333334,,0.40503913099184835,,0.43233333333333335,,0.3730771547491374,
24a47a91,2.0,10,3,3,4,3.6093,4.0383,4.3746,0.5732,0.52,0.5133,0.05,0.7156666666666667,,0.42125388468856795,,0.5843333333333334,,0.43362828247714347,
25b54c79,2.0,10,3,3,4,3.8383,4.3238,4.4059,0.5147,0.5573,0.5357,0.05,0.7206666666666667,,0.4018967587887859,,0.5853333333333334,,0.4178933949209876,
2611d793,2.0,10,3,3,4,4.0968,3.92,4.0001,0.3473,0.4597,0.4478,0.05,0.568,,0.3833635979549565,,0.44,,0.40772550482385705,
26e87930,2.0,10,3,3,4,3.6585,4.1472,4.156,0.3541,0.3683,0.4229,0.05,0.544,,0.3628307883031296,,0.36633333333333334,,0.38369728090483673,
28463cd7,2.0,10,3,3,4,4.1629,3.9151,4.2505,0.3185,0.4429,0.5796,0.05,0.5993333333333334,,0.38409041136324634,,0.4543333333333333,,0.35968957313908595,
2a6170b3,2.0,10,3,3,4,3.9619,3.941,4.4271,0.5225,0.42,0.4646,0.05,0.6613333333333333,,0.4302665121016719,,0.5156666666666667,,0.42085228765514043,
2c0c56a3,2.0,10,3,3,4,4.4614,3.6932,4.4907,0.4909,0.474,0.5202,0.05,0.678,,0.3945587292663877,,0.5293333333333333,,0.3985457409786989,
2eb132ec,2.0,10,3,3,4,4.3154,3.5646,4.0079,0.4487,0.3231,0.4687,0.05,0.5763333333333334,,0.36908887583910066,,0.4176666666666667,,0.39108501607462415,
307c33c5,2.0,10,3,3,4,3.8988,3.5958,4.4255,0.3093,0.3396,0.4208,0.05,0.4696666666666667,,0.34515416928199005,,0.32366666666666666,,0.34949749832516935,
337b4a7e,2.0,10,3,3,4,3.6699,3.8855,3.7223,0.3854,0.4034,0.5579,0.05,0.6406666666666667,,0.38614475823687555,,0.5083333333333333,,0.39962880712956494,
34121a9d,2.0,10,3,3,4,3.8842,4.075,3.865,0.3578,0.3765,0.3128,0.05,0.4796666666666667,,0.37240051512970057,,0.30833333333333335,,0.4133440618621188,
36b4d2c1,2.0,10,3,3,4,3.8409,3.8078,4.4083,0.3387,0.5611,0.3837,0.05,0.6063333333333333,,0.3921657900317929,,0.4683333333333333,,0.4188860928772489,
36ef355f,2.0,10,3,3,4,4.199,3.6165,3.7797,0.3268,0.3894,0.4817,0.05,0.554,,0.38104275439758417,,0.4046666666666667,,0.3513339992754628,
371175c1,2.0,10,3,3,4,4.0634,4.4195,3.8866,0.5841,0.3119,0.3048,0.05,0.5396666666666666,,0.391044193140404,,0.4086666666666667,,0.4107271855401875,
391e3b1f,2.0,10,3,3,4,3.9858,3.9041,3.6277,0.4435,0.5447,0.3784,0.05,0.6416666666666667,,0.39057341077125013,,0.515,,0.3900128462884469,
3aa9fcbb,2.0,10,3,3,4,3.8236,3.9911,4.0665,0.5636,0.3544,0.3339,0.05,0.58,,0.3755829386018177,,0.4246666666666667,,0.4762768042558363,
3da26a90,2.0,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,0.6183333333333333,,0.36800258785172274,,0.455,,0.39188159707990716,
3f7b49a9,2.0,10,3,3,4,4.1733,4.0518,3.8147,0.3023,0.4002,0.3362,0.05,0.45,,0.36913150245004234,,0.30366666666666664,,0.38220008490614843,
40516277,2.0,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,0.5886666666666667,,0.4020195483372289,,0.424,,0.3850805088486581,
42a6b12d,2.0,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,0.5913333333333334,,0.40020784420007316,,0.45566666666666666,,0.39767191918476974,
455f73bc,2.0,10,3,3,4,3.6209,4.286,3.7883,0.5482,0.3852,0.559,0.05,0.672,,0.4131795713176286,,0.5393333333333333,,0.41285711418912846,
4968921c,2.0,10,3,3,4,3.8472,4.2991,4.4339,0.3416,0.3582,0.4265,0.05,0.4876666666666667,,0.3847761663642036,,0.3406666666666667,,0.3672039872249789,
4acf8cbb,2.0,10,3,3,4,4.4273,3.9072,4.3494,0.5919,0.5327,0.5054,0.05,0.7036666666666667,,0.39588077957296675,,0.5903333333333334,,0.4091267549589857,
4ca425c5,2.0,10,3,3,4,3.8539,3.6106,4.2921,0.4932,0.3621,0.4295,0.05,0.6073333333333333,,0.4086263669731777,,0.4696666666666667,,0.4035365987437669,
4cc68285,2.0,10,3,3,4,4.2702,3.748,4.0958,0.3987,0.538,0.5893,0.05,0.67,,0.39489940006186774,,0.56,,0.3954226255792709,
4db37941,2.0,10,3,3,4,3.6057,4.0299,4.1731,0.4741,0.3095,0.5273,0.05,0.6186666666666667,,0.3702050692871081,,0.45,,0.3647099697240551,
4e10581d,2.0,10,3,3,4,3.5182,3.6587,4.3121,0.414,0.5044,0.4436,0.05,0.6443333333333333,,0.4031434607083616,,0.49733333333333335,,0.36947760520663264,
4e9874e1,2.0,10,3,3,4,3.7481,4.0184,3.7833,0.4365,0.3944,0.3228,0.05,0.5533333333333333,,0.39795840418957834,,0.408,,0.4264640560692337,
58b5b6e1,2.0,10,3,3,4,4.1487,4.0972,3.5412,0.4343,0.5421,0.5313,0.05,0.666,,0.3959330585205835,,0.564,,0.43263978621294874,
5a9945a0,2.0,10,3,3,4,3.7754,4.4953,4.1395,0.4978,0.4576,0.4076,0.05,0.6246666666666667,,0.38752369205451803,,0.49033333333333334,,0.423035933686206,
5ad50cb4,2.0,10,3,3,4,3.6857,4.4906,4.058,0.5884,0.3052,0.5483,0.05,0.6473333333333333,,0.424470756294574,,0.515,,0.38004623572655133,
5d8dca5d,2.0,10,3,3,4,4.3237,3.5868,3.8771,0.3303,0.5081,0.5956,0.05,0.642,,0.41025542448379293,,0.512,,0.3942942830225441,
5f0715ea,2.0,10,3,3,4,4.1384,3.88,4.3165,0.3289,0.4773,0.4459,0.05,0.579,,0.3807757469375571,,0.4246666666666667,,0.3906037927989272,
601af80d,2.0,10,3,3,4,4.3748,4.4601,4.3708,0.4191,0.5244,0.561,0.05,0.66,,0.3824681686356502,,0.5276666666666666,,0.38338147184425275,
61334aff,2.0,10,3,3,4,3.6611,3.7165,4.1187,0.3653,0.3569,0.4133,0.05,0.534,,0.3712859993779915,,0.38766666666666666,,0.37867904721067214,
6142e7a4,2.0,10,3,3,4,4.3975,3.6227,3.6893,0.4391,0.4333,0.3343,0.05,0.5663333333333334,,0.37967284075361957,,0.43266666666666664,,0.4003689999242658,
6187061c,2.0,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,0.7273333333333334,,0.40851625943463304,,0.616,,0.410159164041442,
6569c1c0,2.0,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,0.6503333333333333,,0.3999176772108347,,0.5213333333333333,,0.41545178653110065,
6669c902,2.0,10,3,3,4,3.523,4.2162,3.5055,0.45,0.3067,0.4381,0.05,0.562,,0.39259955539422464,,0.40066666666666667,,0.435870369666824,
6c9a8efb,2.0,10,3,3,4,3.5021,4.1432,3.6726,0.5755,0.4463,0.3509,0.05,0.649,,0.3919365684660623,,0.505,,0.40976220934667845,
6e0b8628,2.0,10,3,3,4,3.9481,4.1174,4.018,0.47,0.3927,0.5153,0.05,0.6443333333333333,,0.3902232800424731,,0.499,,0.35192575410172344,
70ceca4d,2.0,10,3,3,4,4.4551,4.1718,4.0744,0.4818,0.4986,0.4913,0.05,0.679,,0.40086557340804635,,0.5156666666666667,,0.4143511716338717,
75dbc9b5,2.0,10,3,3,4,3.9044,4.2378,4.2953,0.5478,0.5955,0.3065,0.05,0.6583333333333333,,0.4279602999390827,,0.543,,0.4277596503755554,
76ca540e,2.0,10,3,3,4,3.8738,3.7931,3.6128,0.4838,0.528,0.326,0.05,0.6266666666666667,,0.4159997179758652,,0.49366666666666664,,0.4080122133822113,
7d003439,2.0,10,3,3,4,3.5713,3.7451,4.0494,0.396,0.5624,0.4096,0.05,0.628,,0.4148035932872537,,0.5186666666666667,,0.39493343210574056,
7e5df07f,2.0,10,3,3,4,4.024,4.4237,4.2024,0.5351,0.5491,0.3939,0.05,0.6756666666666666,,0.3904639011249642,,0.5526666666666666,,0.39642492213642766,
7ee5b35e,2.0,10,3,3,4,3.7627,3.7988,3.9108,0.5007,0.591,0.5774,0.05,0.728,,0.4132924684074878,,0.6163333333333333,,0.40274099709308764,
7f2924f1,2.0,10,3,3,4,3.7158,4.1318,4.4668,0.5578,0.3205,0.3404,0.05,0.5523333333333333,,0.41436044270021777,,0.413,,0.42623337130374217,
80827b09,2.0,10,3,3,4,4.2367,4.4566,3.5245,0.5036,0.5177,0.5245,0.05,0.693,,0.40201400691256245,,0.565,,0.4035589613774106,
82e534a8,2.0,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,0.561,,0.3818963079015637,,0.4166666666666667,,0.3826748646485439,
833f96ce,2.0,10,3,3,4,3.7999,4.3693,4.3893,0.5794,0.3038,0.4258,0.05,0.5833333333333334,,0.4192427419132394,,0.439,,0.4110981844372983,
8640d9db,2.0,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,0.6943333333333334,,0.42536210022051835,,0.5843333333333334,,0.41869130327566856,
868a492a,2.0,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,0.7013333333333334,,0.4033510522468952,,0.5526666666666666,,0.4471749699809319,
87f896ff,2.0,10,3,3,4,4.3028,3.7012,3.8524,0.5385,0.4821,0.3525,0.05,0.646,,0.41087750459556316,,0.5073333333333333,,0.41628268892940323,
885fb931,2.0,10,3,3,4,4.2203,3.9866,4.0668,0.5204,0.4911,0.3713,0.05,0.6296666666666667,,0.4164859851753253,,0.5126666666666667,,0.36993809420118995,
891cb5ef,2.0,10,3,3,4,4.1804,4.4018,3.7636,0.4069,0.4097,0.4784,0.05,0.5846666666666667,,0.40059399422108183,,0.446,,0.38582240177068633,
8bd9fdb0,2.0,10,3,3,4,3.8878,4.0913,3.7281,0.5598,0.58,0.474,0.05,0.7043333333333334,,0.41478670321874206,,0.6056666666666667,,0.3899266287209007,
8c3ff9ab,2.0,10,3,3,4,4.4909,3.5828,4.3631,0.5421,0.4697,0.4893,0.05,0.6896666666666667,,0.40379064068135584,,0.55,,0.42993651957638596,
8c69e505,2.0,10,3,3,4,4.4241,3.5732,4.0345,0.5368,0.4491,0.3303,0.05,0.6056666666666667,,0.3913415469251591,,0.48,,0.4066665056677791,
8df588b1,2.0,10,3,3,4,3.5393,3.8874,4.4818,0.3863,0.5012,0.4945,0.05,0.6583333333333333,,0.396695950660681,,0.5266666666666666,,0.40934296639289436,
8ef84b07,2.0,10,3,3,4,3.9561,3.8274,4.0828,0.3723,0.4708,0.5729,0.05,0.655,,0.3864931910442965,,0.5116666666666667,,0.4265060786041745,
93a0ac75,2.0,10,3,3,4,4.0723,4.3431,4.1811,0.3611,0.4135,0.3856,0.05,0.5183333333333333,,0.408609595442565,,0.363,,0.3699498278933533,
96778a1f,2.0,10,3,3,4,3.6976,4.2727,3.6384,0.4659,0.3376,0.3692,0.05,0.5576666666666666,,0.40221058701545076,,0.3963333333333333,,0.37601095650469896,
9701c5f8,2.0,10,3,3,4,4.1237,3.9955,3.9642,0.3951,0.3127,0.3878,0.05,0.49,,0.3722884805917107,,0.344,,0.42315537949517873,
97068ed0,2.0,10,3,3,4,4.0785,3.8057,3.5908,0.4851,0.3864,0.5813,0.05,0.6816666666666666,,0.39660424225404034,,0.5356666666666666,,0.3845281683807127,
99071f9e,2.0,10,3,3,4,3.9677,3.5143,3.8441,0.3217,0.4108,0.571,0.05,0.608,,0.3742641198671044,,0.461,,0.38221849240279093,
9a5a868b,2.0,10,3,3,4,4.1896,4.3197,4.2727,0.3795,0.4384,0.5089,0.05,0.6113333333333333,,0.3876246635719733,,0.433,,0.40271677975421816,
9b87f1d8,2.0,10,3,3,4,3.9762,3.5785,4.4562,0.5103,0.5879,0.5361,0.05,0.737,,0.4078839555249699,,0.616,,0.42408650979439416,
