geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
1c989bdc,1.0,10,3,3,4,3.6841,3.7804,3.7255,0.5796,0.5689,0.5891,0.05,0.4826666666666667,,0.4127291066698417,,0.2946666666666667,,0.4360015050470016,
5370d797,1.0,10,3,3,4,3.6461,3.5951,3.9937,0.5821,0.5679,0.5685,0.05,0.47333333333333333,,0.39842632463728117,,0.275,,0.4461882872326339,
626d6837,1.0,10,3,3,4,3.7846,3.7277,3.5851,0.5954,0.5648,0.5602,0.05,0.476,,0.41367161576342354,,0.278,,0.4522935572667882,
87fa8083,1.0,10,3,3,4,3.6164,3.5736,3.7751,0.5862,0.5928,0.5466,0.05,0.4786666666666667,,0.42523405403014536,,0.292,,0.4596182368363757,
c2bbd5d3,1.0,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,0.507,,0.3902979772041701,,0.29233333333333333,,0.4380448554152409,
