geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
1c989bdc,1.0,10,3,3,4,3.6841,3.7804,3.7255,0.5796,0.5689,0.5891,0.05,0.4826666666666667,,0.4127291066698417,,0.2946666666666667,,0.4360015050470016,
5370d797,1.0,10,3,3,4,3.6461,3.5951,3.9937,0.5821,0.5679,0.5685,0.05,0.47333333333333333,,0.39842632463728117,,0.275,,0.4461882872326339,
c2bbd5d3,1.0,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,0.507,,0.3902979772041701,,0.29233333333333333,,0.4380448554152409,
e447bc1d,1.0,10,3,3,4,3.5331,3.7432,3.9687,0.5792,0.5974,0.5421,0.05,0.48533333333333334,,0.3922167655882241,,0.272,,0.44770369639200086,
eaea2253,1.0,10,3,3,4,3.5418,3.6322,3.6938,0.5241,0.5746,0.518,0.05,0.43633333333333335,,0.39743013648165315,,0.26766666666666666,,0.36483340754030563,
